antecedent,consequent,confidence,lift,support
['5700035' '5700046'],['5700037'],0.4426229508196721,17.94035577258458,0.0008337193144974525
['5700035' '5700046'],['5700047'],0.3114754098360656,53.09016393442623,0.0005866913694611703
['5816173' '5809911'],['5809912'],0.7037037037037037,24.452193609918933,0.0005866913694611703
['5824148'],['5646938'],0.3275862068965517,75.24027879677182,0.0005866913694611703
['5877599'],['5906118'],0.2857142857142857,93.46320346320346,0.000555812876331635
['5877599'],['5862943'],0.2698412698412698,26.48124098124098,0.0005249343832020997
['5877599'],['5859329'],0.2857142857142857,90.71428571428571,0.000555812876331635
['5615144'],['5686925'],0.08866995073891626,2.8918190882978885,0.000555812876331635
['5615144'],['5802432'],0.08374384236453201,4.000065390819128,0.0005249343832020997
['5615144'],['5854897'],0.08374384236453201,2.560948380524428,0.0005249343832020997
['5615144'],['5783987'],0.18719211822660098,25.154426343437645,0.0011733827389223406
['5615144'],['5742957'],0.10344827586206896,21.475464190981434,0.0006484483557202408
['5615144'],['5615234'],0.15763546798029557,73.98586421075177,0.000988111780145129
['5815730'],['5849033'],0.12790697674418605,6.191730107414746,0.0006793268488497761
['5815730'],['5751422'],0.21511627906976744,8.8972422703377,0.0011425042457928053
['5815730'],['5809910'],0.14534883720930233,2.360642975437942,0.000771962328238382
['5815730'],['5815731'],0.19186046511627908,44.06667491340921,0.0010189902732746642
['5862688'],['5771964'],0.3333333333333333,93.0603448275862,0.000555812876331635
['5700046' '5686925'],['5843836'],0.2727272727272727,19.32663616471056,0.000555812876331635
['5700046' '5686925'],['5700037'],0.3181818181818182,12.89651837524178,0.0006484483557202408
['5816172' '5816166' '5809911' '5809910'],['5809912'],0.9,31.2730686695279,0.000555812876331635
['5816178' '5809912' '5809910'],['5816166'],0.3333333333333333,38.691756272401435,0.0006175698625907056
['5816178' '5809912' '5809910'],['5809911'],0.4666666666666667,36.5048309178744,0.0008645978076269878
['5816178' '5809912' '5809910'],['5816172'],0.45,52.99363636363636,0.0008337193144974525
['5816178' '5809912' '5809910'],['5816170'],0.5666666666666667,37.45204081632653,0.0010498687664041995
['5767495'],['5759492'],0.14136125654450263,14.086105517519131,0.0008337193144974525
['5767495'],['4958'],0.09424083769633508,11.693446470482037,0.000555812876331635
['5767495'],['5759491'],0.1518324607329843,19.668376963350784,0.0008954763007565231
['5767495'],['5304'],0.10471204188481675,5.298592931937173,0.0006175698625907056
['5767495'],['5753480'],0.09947643979057591,47.37565445026178,0.0005866913694611703
['5767495'],['5759490'],0.11518324607329843,66.61088257292445,0.0006793268488497761
['5767495'],['5651975'],0.11518324607329843,25.72558223506048,0.0006793268488497761
['5817702'],['5686925'],0.1033210332103321,3.36963913445781,0.0008645978076269878
['5817702'],['5700037'],0.06642066420664207,2.692156708801131,0.000555812876331635
['5817702'],['5843836'],0.08118081180811808,5.752824049028236,0.0006793268488497761
['5817702'],['5304'],0.12915129151291513,6.535257149446495,0.0010807472595337347
['5817702'],['5854897'],0.13653136531365315,4.17522971263707,0.0011425042457928053
['5817702'],['5809910'],0.08856088560885608,1.4383371516764314,0.0007410838351088467
['5817702'],['5857007'],0.15867158671586715,22.341649286058075,0.001327775204570017
['5869136'],['5869134'],0.16911764705882354,36.75755033557047,0.0007102053419793114
['5869136'],['5868795'],0.15441176470588236,36.50091240875913,0.0006484483557202408
['5864737'],['5864736'],0.39849624060150374,124.08943030653556,0.0016365601358653697
['5815568' '5815571' '5815567'],['5815569'],0.84375,525.4777644230769,0.0008337193144974525
['5815568' '5815571' '5815567'],['5815570'],0.71875,541.3190406976744,0.0007102053419793114
['5816169' '5809911' '5809912' '5809910'],['5816170'],0.7142857142857143,47.20845481049563,0.0006175698625907056
['5816169' '5809911' '5809912' '5809910'],['5816172'],0.6071428571428571,71.49935064935065,0.0005249343832020997
['5854832'],['5809912'],0.4090909090909091,14.215031213421772,0.000555812876331635
['5854832'],['5809910'],0.5909090909090909,9.597086714689524,0.0008028408213679172
['5723518'],['5723511'],0.15714285714285714,45.84749034749035,0.0006793268488497761
['5723518'],['5773361'],0.15714285714285714,21.204464285714284,0.0006793268488497761
['5723518'],['5723496'],0.17857142857142858,37.30990783410138,0.000771962328238382
['5723518'],['5760789'],0.15714285714285714,33.045918367346935,0.0006793268488497761
['5723518'],['5809910'],0.12142857142857143,1.972148588623012,0.0005249343832020997
['5723518'],['5723490'],0.17857142857142858,43.48147153598281,0.000771962328238382
['5723518'],['5723501'],0.12142857142857143,67.80110837438424,0.0005249343832020997
